                          Elliptical Orbit Data

                          Mstar =      1.050 Msun
                          a     =      6.220 AU
                          P     =     15.138 yr
                          e     =      0.000


        t (yr)            r (AU)            theta (deg)            x (AU)            y (AU)
        ------            ------            -----------            ------            ------
         0.000             6.220                  0.000             6.220             0.000
         0.076             6.220                  1.800             6.217             0.195
         0.151             6.220                  3.600             6.208             0.391
         0.227             6.220                  5.400             6.192             0.585
         0.303             6.220                  7.200             6.171             0.780
         0.378             6.220                  9.000             6.143             0.973
         0.454             6.220                 10.800             6.110             1.166
         0.530             6.220                 12.600             6.070             1.357
         0.606             6.220                 14.400             6.025             1.547
         0.681             6.220                 16.200             5.973             1.735
         0.757             6.220                 18.000             5.916             1.922
         0.833             6.220                 19.800             5.852             2.107
         0.908             6.220                 21.600             5.783             2.290
         0.984             6.220                 23.400             5.708             2.470
         1.060             6.220                 25.200             5.628             2.648
         1.135             6.220                 27.000             5.542             2.824
         1.211             6.220                 28.800             5.451             2.997
         1.287             6.220                 30.600             5.354             3.166
         1.362             6.220                 32.400             5.252             3.333
         1.438             6.220                 34.200             5.144             3.496
         1.514             6.220                 36.000             5.032             3.656
         1.589             6.220                 37.800             4.915             3.812
         1.665             6.220                 39.600             4.793             3.965
         1.741             6.220                 41.400             4.666             4.113
         1.817             6.220                 43.200             4.534             4.258
         1.892             6.220                 45.000             4.398             4.398
         1.968             6.220                 46.800             4.258             4.534
         2.044             6.220                 48.600             4.113             4.666
         2.119             6.220                 50.400             3.965             4.793
         2.195             6.220                 52.200             3.812             4.915
         2.271             6.220                 54.000             3.656             5.032
         2.346             6.220                 55.800             3.496             5.144
         2.422             6.220                 57.600             3.333             5.252
         2.498             6.220                 59.400             3.166             5.354
         2.573             6.220                 61.200             2.997             5.451
         2.649             6.220                 63.000             2.824             5.542
         2.725             6.220                 64.800             2.648             5.628
         2.800             6.220                 66.600             2.470             5.708
         2.876             6.220                 68.400             2.290             5.783
         2.952             6.220                 70.200             2.107             5.852
         3.028             6.220                 72.000             1.922             5.916
         3.103             6.220                 73.800             1.735             5.973
         3.179             6.220                 75.600             1.547             6.025
         3.255             6.220                 77.400             1.357             6.070
         3.330             6.220                 79.200             1.166             6.110
         3.406             6.220                 81.000             0.973             6.143
         3.482             6.220                 82.800             0.780             6.171
         3.557             6.220                 84.600             0.585             6.192
         3.633             6.220                 86.400             0.391             6.208
         3.709             6.220                 88.200             0.195             6.217
         3.784             6.220                 90.000            -0.000             6.220
         3.860             6.220                 91.800            -0.195             6.217
         3.936             6.220                 93.600            -0.391             6.208
         4.011             6.220                 95.400            -0.585             6.192
         4.087             6.220                 97.200            -0.780             6.171
         4.163             6.220                 99.000            -0.973             6.143
         4.239             6.220                100.800            -1.166             6.110
         4.314             6.220                102.600            -1.357             6.070
         4.390             6.220                104.400            -1.547             6.025
         4.466             6.220                106.200            -1.735             5.973
         4.541             6.220                108.000            -1.922             5.916
         4.617             6.220                109.800            -2.107             5.852
         4.693             6.220                111.600            -2.290             5.783
         4.768             6.220                113.400            -2.470             5.708
         4.844             6.220                115.200            -2.648             5.628
         4.920             6.220                117.000            -2.824             5.542
         4.995             6.220                118.800            -2.997             5.451
         5.071             6.220                120.600            -3.166             5.354
         5.147             6.220                122.400            -3.333             5.252
         5.222             6.220                124.200            -3.496             5.144
         5.298             6.220                126.000            -3.656             5.032
         5.374             6.220                127.800            -3.812             4.915
         5.450             6.220                129.600            -3.965             4.793
         5.525             6.220                131.400            -4.113             4.666
         5.601             6.220                133.200            -4.258             4.534
         5.677             6.220                135.000            -4.398             4.398
         5.752             6.220                136.800            -4.534             4.258
         5.828             6.220                138.600            -4.666             4.113
         5.904             6.220                140.400            -4.793             3.965
         5.979             6.220                142.200            -4.915             3.812
         6.055             6.220                144.000            -5.032             3.656
         6.131             6.220                145.800            -5.144             3.496
         6.206             6.220                147.600            -5.252             3.333
         6.282             6.220                149.400            -5.354             3.166
         6.358             6.220                151.200            -5.451             2.997
         6.434             6.220                153.000            -5.542             2.824
         6.509             6.220                154.800            -5.628             2.648
         6.585             6.220                156.600            -5.708             2.470
         6.661             6.220                158.400            -5.783             2.290
         6.736             6.220                160.200            -5.852             2.107
         6.812             6.220                162.000            -5.916             1.922
         6.888             6.220                163.800            -5.973             1.735
         6.963             6.220                165.600            -6.025             1.547
         7.039             6.220                167.400            -6.070             1.357
         7.115             6.220                169.200            -6.110             1.166
         7.190             6.220                171.000            -6.143             0.973
         7.266             6.220                172.800            -6.171             0.780
         7.342             6.220                174.600            -6.192             0.585
         7.417             6.220                176.400            -6.208             0.391
         7.493             6.220                178.200            -6.217             0.195
         7.569             6.220                180.000            -6.220             0.000
         7.645             6.220                181.800            -6.217            -0.195
         7.720             6.220                183.600            -6.208            -0.391
         7.796             6.220                185.400            -6.192            -0.585
         7.872             6.220                187.200            -6.171            -0.780
         7.947             6.220                189.000            -6.143            -0.973
         8.023             6.220                190.800            -6.110            -1.166
         8.099             6.220                192.600            -6.070            -1.357
         8.174             6.220                194.400            -6.025            -1.547
         8.250             6.220                196.200            -5.973            -1.735
         8.326             6.220                198.000            -5.916            -1.922
         8.401             6.220                199.800            -5.852            -2.107
         8.477             6.220                201.600            -5.783            -2.290
         8.553             6.220                203.400            -5.708            -2.470
         8.628             6.220                205.200            -5.628            -2.648
         8.704             6.220                207.000            -5.542            -2.824
         8.780             6.220                208.800            -5.451            -2.997
         8.856             6.220                210.600            -5.354            -3.166
         8.931             6.220                212.400            -5.252            -3.333
         9.007             6.220                214.200            -5.144            -3.496
         9.083             6.220                216.000            -5.032            -3.656
         9.158             6.220                217.800            -4.915            -3.812
         9.234             6.220                219.600            -4.793            -3.965
         9.310             6.220                221.400            -4.666            -4.113
         9.385             6.220                223.200            -4.534            -4.258
         9.461             6.220                225.000            -4.398            -4.398
         9.537             6.220                226.800            -4.258            -4.534
         9.612             6.220                228.600            -4.113            -4.666
         9.688             6.220                230.400            -3.965            -4.793
         9.764             6.220                232.200            -3.812            -4.915
         9.839             6.220                234.000            -3.656            -5.032
         9.915             6.220                235.800            -3.496            -5.144
         9.991             6.220                237.600            -3.333            -5.252
        10.067             6.220                239.400            -3.166            -5.354
        10.142             6.220                241.200            -2.997            -5.451
        10.218             6.220                243.000            -2.824            -5.542
        10.294             6.220                244.800            -2.648            -5.628
        10.369             6.220                246.600            -2.470            -5.708
        10.445             6.220                248.400            -2.290            -5.783
        10.521             6.220                250.200            -2.107            -5.852
        10.596             6.220                252.000            -1.922            -5.916
        10.672             6.220                253.800            -1.735            -5.973
        10.748             6.220                255.600            -1.547            -6.025
        10.823             6.220                257.400            -1.357            -6.070
        10.899             6.220                259.200            -1.166            -6.110
        10.975             6.220                261.000            -0.973            -6.143
        11.050             6.220                262.800            -0.780            -6.171
        11.126             6.220                264.600            -0.585            -6.192
        11.202             6.220                266.400            -0.391            -6.208
        11.278             6.220                268.200            -0.195            -6.217
        11.353             6.220                270.000            -0.000            -6.220
        11.429             6.220                271.800             0.195            -6.217
        11.505             6.220                273.600             0.391            -6.208
        11.580             6.220                275.400             0.585            -6.192
        11.656             6.220                277.200             0.780            -6.171
        11.732             6.220                279.000             0.973            -6.143
        11.807             6.220                280.800             1.166            -6.110
        11.883             6.220                282.600             1.357            -6.070
        11.959             6.220                284.400             1.547            -6.025
        12.034             6.220                286.200             1.735            -5.973
        12.110             6.220                288.000             1.922            -5.916
        12.186             6.220                289.800             2.107            -5.852
        12.261             6.220                291.600             2.290            -5.783
        12.337             6.220                293.400             2.470            -5.708
        12.413             6.220                295.200             2.648            -5.628
        12.489             6.220                297.000             2.824            -5.542
        12.564             6.220                298.800             2.997            -5.451
        12.640             6.220                300.600             3.166            -5.354
        12.716             6.220                302.400             3.333            -5.252
        12.791             6.220                304.200             3.496            -5.144
        12.867             6.220                306.000             3.656            -5.032
        12.943             6.220                307.800             3.812            -4.915
        13.018             6.220                309.600             3.965            -4.793
        13.094             6.220                311.400             4.113            -4.666
        13.170             6.220                313.200             4.258            -4.534
        13.245             6.220                315.000             4.398            -4.398
        13.321             6.220                316.800             4.534            -4.258
        13.397             6.220                318.600             4.666            -4.113
        13.473             6.220                320.400             4.793            -3.965
        13.548             6.220                322.200             4.915            -3.812
        13.624             6.220                324.000             5.032            -3.656
        13.700             6.220                325.800             5.144            -3.496
        13.775             6.220                327.600             5.252            -3.333
        13.851             6.220                329.400             5.354            -3.166
        13.927             6.220                331.200             5.451            -2.997
        14.002             6.220                333.000             5.542            -2.824
        14.078             6.220                334.800             5.628            -2.648
        14.154             6.220                336.600             5.708            -2.470
        14.229             6.220                338.400             5.783            -2.290
        14.305             6.220                340.200             5.852            -2.107
        14.381             6.220                342.000             5.916            -1.922
        14.456             6.220                343.800             5.973            -1.735
        14.532             6.220                345.600             6.025            -1.547
        14.608             6.220                347.400             6.070            -1.357
        14.684             6.220                349.200             6.110            -1.166
        14.759             6.220                351.000             6.143            -0.973
        14.835             6.220                352.800             6.171            -0.780
        14.911             6.220                354.600             6.192            -0.585
        14.986             6.220                356.400             6.208            -0.391
        15.062             6.220                358.200             6.217            -0.195
        15.138             6.220                360.000             6.220            -0.000
